time,temperature,humidity
2021-10-12T20:41:17Z,19.5,54.3
2021-10-12T20:41:18Z,19.6,55.9
2021-10-12T20:41:19Z,19.6,55.9
2021-10-12T20:41:20Z,19.6,55.9
2021-10-12T20:41:21Z,19.6,55.9
2021-10-12T20:41:22Z,19.6,55.9
2021-10-12T20:41:23Z,19.6,55.9
2021-10-12T20:41:24Z,19.6,55.9
2021-10-12T20:41:25Z,19.5,57.0
2021-10-12T20:41:26Z,19.5,57.0
2021-10-12T20:41:27Z,19.5,56.8
2021-10-12T20:41:28Z,19.5,56.8
2021-10-12T20:41:29Z,19.5,56.6
2021-10-12T20:41:30Z,19.5,56.6
2021-10-12T20:41:31Z,19.5,56.4
2021-10-12T20:41:32Z,19.5,56.4
2021-10-12T20:41:33Z,19.5,56.3
2021-10-12T20:41:34Z,19.5,56.3
2021-10-12T20:41:35Z,19.5,56.2
2021-10-12T20:41:36Z,19.5,56.2
2021-10-12T20:41:37Z,19.5,56.2
2021-10-12T20:41:38Z,19.5,56.0
2021-10-12T20:41:39Z,19.5,56.0
2021-10-12T20:41:40Z,19.4,55.8
2021-10-12T20:41:41Z,19.4,55.8
2021-10-12T20:41:42Z,19.5,55.8
2021-10-12T20:41:43Z,19.5,55.8
2021-10-12T20:41:44Z,19.4,55.7
2021-10-12T20:41:45Z,19.4,55.7
2021-10-12T20:41:46Z,19.6,55.8
2021-10-12T20:41:47Z,19.6,55.8
2021-10-12T20:41:48Z,19.5,55.7
2021-10-12T20:41:49Z,19.5,55.7
2021-10-12T20:41:50Z,19.4,55.6
2021-10-12T20:41:51Z,19.4,55.6
2021-10-12T20:41:52Z,19.6,55.7
2021-10-12T20:41:53Z,19.6,55.7
2021-10-12T20:41:54Z,19.4,55.5
2021-10-12T20:41:55Z,19.4,55.5
2021-10-12T20:41:56Z,19.5,55.5
2021-10-12T20:41:57Z,19.5,55.5
2021-10-12T20:41:58Z,19.3,55.3
2021-10-12T20:41:59Z,19.3,55.3
2021-10-12T20:42:00Z,19.6,55.4
2021-10-12T20:42:01Z,19.6,55.4
2021-10-12T20:42:02Z,19.6,55.4
2021-10-12T20:42:03Z,19.6,55.4
2021-10-12T20:42:04Z,19.5,55.4
2021-10-12T20:42:05Z,19.5,55.4
2021-10-12T20:42:06Z,19.5,55.4
2021-10-12T20:42:07Z,19.5,55.4
2021-10-12T20:42:08Z,19.4,55.3
2021-10-12T20:42:09Z,19.4,55.3
2021-10-12T20:42:10Z,19.5,55.3
2021-10-12T20:42:11Z,19.5,55.3
2021-10-12T20:42:12Z,19.5,55.3
2021-10-12T20:42:13Z,19.5,55.3
2021-10-12T20:42:14Z,19.4,55.1
2021-10-12T20:42:15Z,19.4,55.1
2021-10-12T20:42:16Z,19.4,55.1
2021-10-12T20:42:17Z,19.4,55.1
2021-10-12T20:42:18Z,19.5,55.1
2021-10-12T20:42:19Z,19.5,55.1
2021-10-12T20:42:20Z,19.5,55.1
2021-10-12T20:42:21Z,19.5,55.1
2021-10-12T20:42:22Z,19.4,55.1
2021-10-12T20:42:23Z,19.4,55.1
2021-10-12T20:42:24Z,19.4,55.1
2021-10-12T20:42:25Z,19.5,55.1
2021-10-12T20:42:26Z,19.5,55.1
2021-10-12T20:42:27Z,19.6,55.1
2021-10-12T20:42:28Z,19.6,55.1
2021-10-12T20:42:29Z,19.5,55.1
2021-10-12T20:42:30Z,19.5,55.1
2021-10-12T20:42:31Z,19.4,55.0
2021-10-12T20:42:32Z,19.4,55.0
2021-10-12T20:42:33Z,19.5,55.0
2021-10-12T20:42:34Z,19.5,55.0
2021-10-12T20:42:35Z,19.5,55.0
2021-10-12T20:42:36Z,19.5,55.0
2021-10-12T20:42:37Z,19.5,55.0
2021-10-12T20:42:38Z,19.55,55.05
2021-10-12T20:42:39Z,19.55,55.05
2021-10-12T20:42:40Z,19.6,55.1
2021-10-12T20:42:41Z,19.3,54.9
2021-10-12T20:42:42Z,19.4,54.95
2021-10-12T20:42:43Z,19.4,54.95
2021-10-12T20:42:44Z,19.5,55.0
2021-10-12T20:42:45Z,19.5,55.0
2021-10-12T20:42:46Z,19.5,55.0
2021-10-12T20:42:47Z,19.5,55.0
2021-10-12T20:42:48Z,19.5,55.0
2021-10-12T20:42:49Z,19.5,55.0
2021-10-12T20:42:50Z,19.5,55.0
2021-10-12T20:42:51Z,19.566666666666666,55.0
2021-10-12T20:42:52Z,19.566666666666666,55.0
2021-10-12T20:42:53Z,19.6,55.0
2021-10-12T20:42:54Z,19.6,55.0
2021-10-12T20:42:55Z,19.4,54.9
2021-10-12T20:42:56Z,19.4,54.9
2021-10-12T20:42:57Z,19.4,54.9
2021-10-12T20:42:58Z,19.4,54.9
2021-10-12T20:42:59Z,19.5,54.9
2021-10-12T20:43:00Z,19.5,54.9
2021-10-12T20:43:01Z,19.5,54.9
2021-10-12T20:43:02Z,19.5,54.9
2021-10-12T20:43:03Z,19.5,54.9
2021-10-12T20:43:04Z,19.5,54.9
2021-10-12T20:43:05Z,19.5,54.9
2021-10-12T20:43:06Z,19.5,54.9
2021-10-12T20:43:07Z,19.4,54.8
2021-10-12T20:43:08Z,19.466666666666665,54.79999999999999
2021-10-12T20:43:09Z,19.466666666666665,54.79999999999999
2021-10-12T20:43:10Z,19.466666666666665,54.79999999999999
2021-10-12T20:43:11Z,19.5,54.8
2021-10-12T20:43:12Z,19.5,54.8
2021-10-12T20:43:13Z,19.5,54.8
2021-10-12T20:43:14Z,19.4,54.8
2021-10-12T20:43:15Z,19.4,54.8
2021-10-12T20:43:16Z,19.3,54.7
2021-10-12T20:43:17Z,19.3,54.7
2021-10-12T20:43:18Z,19.4,54.8
2021-10-12T20:43:19Z,19.4,54.8
2021-10-12T20:43:20Z,19.5,54.8
2021-10-12T20:43:21Z,19.5,54.8
2021-10-12T20:43:22Z,19.5,54.8
